local_authority,authority_name,heating_degree_days,income_before_housing,imd_mean_score
E06000014,York,2107.6701298,,11.727
E06000028,Bournemouth,1963.2322836,,
E06000029,Poole,1964.1186371,,
E06000040,Windsor and Maidenhead,2087.9473,,8.376
E07000004,Aylesbury Vale,2078.8668919,,11.183
E07000005,Chiltern,1842.1047604,,6.952
E07000006,South Bucks,1842.1047604,,9.481
E07000007,Wycombe,2022.1796031,,10.742
E07000048,Christchurch,1963.2322836,,
E07000049,East Dorset,1964.1186371,,
E07000050,North Dorset,1964.1186371,,
E07000051,Purbeck,1964.1186371,,
E07000052,West Dorset,2000.3343182,,
E07000053,Weymouth and Portland,2000.3343182,,
E07000068,Brentwood,2022.1289878,,10.007
E07000163,Craven,2659.9877243,,12.76
E07000190,Taunton Deane,2072.4633541,,
E07000191,West Somerset,2106.9834976,,
E07000201,Forest Heath,2152.5415602,,
E07000204,St Edmundsbury,2152.5415602,,
E07000205,Suffolk Coastal,2053.7032027,,
E07000206,Waveney,2053.7032027,,
E07000207,Elmbridge,1980.8814483,,7.944
E08000029,Solihull,2137.599122,,17.37
E09000020,Kensington and Chelsea,2031.9773097,,21.526
